Model,MAE,RMSE,R2,MAE_KES,RMSE_KES
Linear Regression,146413.95356061865,187755.10930393677,-0.0028371117806327284,"146,414","187,755"
Random Forest,131812.20588358806,164828.82200603498,0.2271180250409751,"131,812","164,829"
XGBoost,124899.67258144947,161419.53890231997,0.258759613215951,"124,900","161,420"
